Code région;Libellé région;Inscrits;Votants;% Votants;Abstentions;% Abstentions;Exprimés;% Exprimés/inscrits;% Exprimés/votants;Blancs;% Blancs/inscrits;% Blancs/votants;Nuls;% Nuls/inscrits;% Nuls/votants;Nuance candidat 1;Voix 1;% Voix/inscrits 1;% Voix/exprimés 1;Nuance candidat 2;Voix 2;% Voix/inscrits 2;% Voix/exprimés 2;Nuance candidat 3;Voix 3;% Voix/inscrits 3;% Voix/exprimés 3;Nuance candidat 4;Voix 4;% Voix/inscrits 4;% Voix/exprimés 4;Nuance candidat 5;Voix 5;% Voix/inscrits 5;% Voix/exprimés 5;Nuance candidat 6;Voix 6;% Voix/inscrits 6;% Voix/exprimés 6;Nuance candidat 7;Voix 7;% Voix/inscrits 7;% Voix/exprimés 7;Nuance candidat 8;Voix 8;% Voix/inscrits 8;% Voix/exprimés 8;Nuance candidat 9;Voix 9;% Voix/inscrits 9;% Voix/exprimés 9;Nuance candidat 10;Voix 10;% Voix/inscrits 10;% Voix/exprimés 10;Nuance candidat 11;Voix 11;% Voix/inscrits 11;% Voix/exprimés 11;Nuance candidat 12;Voix 12;% Voix/inscrits 12;% Voix/exprimés 12;Nuance candidat 13;Voix 13;% Voix/inscrits 13;% Voix/exprimés 13;Nuance candidat 14;Voix 14;% Voix/inscrits 14;% Voix/exprimés 14;Nuance candidat 15;Voix 15;% Voix/inscrits 15;% Voix/exprimés 15;Nuance candidat 16;Voix 16;% Voix/inscrits 16;% Voix/exprimés 16;Nuance candidat 17;Voix 17;% Voix/inscrits 17;% Voix/exprimés 17;Nuance candidat 18;Voix 18;% Voix/inscrits 18;% Voix/exprimés 18
1;Guadeloupe;318961;107028;33,56%;211933;66,44%;101076;31,69%;94,44%;2670;0,84%;2,49%;3282;1,03%;3,07%;EXG;2277;0,71%;2,25%;SOC;19509;6,12%;19,30%;DVG;42618;13,36%;42,16%;UG;226;0,07%;0,22%;REG;4988;1,56%;4,93%;DIV;5399;1,69%;5,34%;DVC;6062;1,90%;6,00%;LR;197;0,06%;0,19%;DVD;2291;0,72%;2,27%;RN;17020;5,34%;16,84%;REC;489;0,15%;0,48%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Martinique;304683;95062;31,20%;209621;68,80%;90186;29,60%;94,87%;2732;0,90%;2,87%;2144;0,70%;2,26%;EXG;1028;0,34%;1,14%;SOC;4489;1,47%;4,98%;DVG;12390;4,07%;13,74%;ECO;2736;0,90%;3,03%;REG;48544;15,93%;53,83%;DIV;100;0,03%;0,11%;UDI;2316;0,76%;2,57%;DVD;9565;3,14%;10,61%;RN;9018;2,96%;10,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Guyane;108900;35462;32,56%;73438;67,44%;34337;31,53%;96,83%;610;0,56%;1,72%;515;0,47%;1,45%;EXG;269;0,25%;0,78%;DVG;858;0,79%;2,50%;REG;23360;21,45%;68,03%;DVC;4626;4,25%;13,47%;DVD;3308;3,04%;9,63%;RN;1916;1,76%;5,58%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;La Réunion;697145;317485;45,54%;379660;54,46%;298834;42,87%;94,13%;9320;1,34%;2,94%;9331;1,34%;2,94%;EXG;4984;0,71%;1,67%;DVG;78035;11,19%;26,11%;UG;53105;7,62%;17,77%;ECO;2126;0,30%;0,71%;REG;0;0,00%;0,00%;DIV;8800;1,26%;2,94%;ENS;3667;0,53%;1,23%;DVC;15319;2,20%;5,13%;LR;5670;0,81%;1,90%;DVD;38659;5,55%;12,94%;DSV;1622;0,23%;0,54%;RN;81220;11,65%;27,18%;REC;3544;0,51%;1,19%;EXD;2083;0,30%;0,70%;;;;;;;;;;;;;;;;
6;Mayotte;98109;42248;43,06%;55861;56,94%;39558;40,32%;93,63%;1128;1,15%;2,67%;1562;1,59%;3,70%;EXG;684;0,70%;1,73%;DVG;552;0,56%;1,40%;DIV;122;0,12%;0,31%;DVC;7030;7,17%;17,77%;LR;6226;6,35%;15,74%;DVD;16522;16,84%;41,77%;RN;7933;8,09%;20,05%;REC;489;0,50%;1,24%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Île-de-France;7446451;5089527;68,35%;2356924;31,65%;4987343;66,98%;97,99%;74505;1,00%;1,46%;27679;0,37%;0,54%;EXG;51285;0,69%;1,03%;FI;8462;0,11%;0,17%;RDG;2260;0,03%;0,05%;DVG;74176;1,00%;1,49%;UG;1924651;25,85%;38,59%;ECO;42392;0,57%;0,85%;REG;4150;0,06%;0,08%;DIV;28567;0,38%;0,57%;ENS;1169571;15,71%;23,45%;DVC;51984;0,70%;1,04%;UDI;46337;0,62%;0,93%;LR;361554;4,86%;7,25%;DVD;142489;1,91%;2,86%;DSV;20011;0,27%;0,40%;RN;818552;10,99%;16,41%;REC;57981;0,78%;1,16%;UXD;182516;2,45%;3,66%;EXD;403;0,01%;0,01%
24;Centre-Val de Loire;1842660;1246870;67,67%;595790;32,33%;1211450;65,74%;97,16%;25106;1,36%;2,01%;10314;0,56%;0,83%;EXG;19386;1,05%;1,60%;DVG;12130;0,66%;1,00%;UG;274298;14,89%;22,64%;ECO;1474;0,08%;0,12%;REG;149;0,01%;0,01%;DIV;6502;0,35%;0,54%;HOR;17256;0,94%;1,42%;ENS;270987;14,71%;22,37%;DVC;22926;1,24%;1,89%;UDI;2803;0,15%;0,23%;LR;78635;4,27%;6,49%;DVD;32949;1,79%;2,72%;DSV;885;0,05%;0,07%;RN;391934;21,27%;32,35%;REC;14046;0,76%;1,16%;UXD;65090;3,53%;5,37%;;;;;;;;
27;Bourgogne-Franche-Comté;1991589;1381834;69,38%;609755;30,62%;1341863;67,38%;97,11%;26246;1,32%;1,90%;13725;0,69%;0,99%;EXG;19518;0,98%;1,45%;DVG;3417;0,17%;0,25%;UG;324970;16,32%;24,22%;ECO;4070;0,20%;0,30%;REG;2;0,00%;0,00%;DIV;1596;0,08%;0,12%;ENS;270895;13,60%;20,19%;DVC;233;0,01%;0,02%;LR;150399;7,55%;11,21%;DVD;20057;1,01%;1,49%;DSV;6835;0,34%;0,51%;RN;454487;22,82%;33,87%;REC;3912;0,20%;0,29%;UXD;81472;4,09%;6,07%;;;;;;;;;;;;;;;;
28;Normandie;2418266;1658471;68,58%;759795;31,42%;1617095;66,87%;97,51%;30483;1,26%;1,84%;10893;0,45%;0,66%;EXG;20820;0,86%;1,29%;DVG;1404;0,06%;0,09%;UG;425318;17,59%;26,30%;ECO;639;0,03%;0,04%;DIV;7532;0,31%;0,47%;HOR;101052;4,18%;6,25%;ENS;258187;10,68%;15,97%;DVC;20368;0,84%;1,26%;LR;26312;1,09%;1,63%;DVD;140917;5,83%;8,71%;DSV;9331;0,39%;0,58%;RN;545939;22,58%;33,76%;REC;16071;0,66%;0,99%;UXD;43206;1,79%;2,67%;;;;;;;;;;;;;;;;
32;Hauts-de-France;4269277;2769046;64,86%;1500231;35,14%;2696763;63,17%;97,39%;50057;1,17%;1,81%;22226;0,52%;0,80%;EXG;38703;0,91%;1,44%;DVG;50788;1,19%;1,88%;UG;609323;14,27%;22,59%;ECO;4261;0,10%;0,16%;REG;58;0,00%;0,00%;DIV;20439;0,48%;0,76%;HOR;17168;0,40%;0,64%;ENS;373007;8,74%;13,83%;DVC;33557;0,79%;1,24%;UDI;39076;0,92%;1,45%;LR;173615;4,07%;6,44%;DVD;111120;2,60%;4,12%;DSV;4537;0,11%;0,17%;RN;1128247;26,43%;41,84%;REC;14759;0,35%;0,55%;UXD;53975;1,26%;2,00%;EXD;24130;0,57%;0,89%;;;;
