"Code département";"Libellé département";"Code canton";"Libellé canton";Inscrits;Votants;"% Votants";Abstentions;"% Abstentions";Exprimés;"% Exprimés/inscrits";"% Exprimés/votants";Blancs;"% Blancs/inscrits";"% Blancs/votants";Nuls;"% Nuls/inscrits";"% Nuls/votants";"Nuance candidat 1";"Voix 1";"% Voix/inscrits 1";"% Voix/exprimés 1";"Nuance candidat 2";"Voix 2";"% Voix/inscrits 2";"% Voix/exprimés 2";"Nuance candidat 3";"Voix 3";"% Voix/inscrits 3";"% Voix/exprimés 3";"Nuance candidat 4";"Voix 4";"% Voix/inscrits 4";"% Voix/exprimés 4";"Nuance candidat 5";"Voix 5";"% Voix/inscrits 5";"% Voix/exprimés 5";"Nuance candidat 6";"Voix 6";"% Voix/inscrits 6";"% Voix/exprimés 6"
"01";Ain;"0101";"Ambérieu-en-Bugey";20547;14325;"69,72%";6222;"30,28%";12927;"62,91%";"90,24%";1076;"5,24%";"7,51%";322;"1,57%";"2,25%";UG;5161;"25,12%";"39,92%";ENS;550;"2,68%";"4,25%";RN;501;"2,44%";"3,88%";UXD;6715;"32,68%";"51,95%";;;;;;;;
"01";Ain;"0102";Attignat;19160;14153;"73,87%";5007;"26,13%";13690;"71,45%";"96,73%";349;"1,82%";"2,47%";114;"0,59%";"0,81%";ENS;242;"1,26%";"1,77%";LR;6793;"35,45%";"49,62%";RN;6655;"34,73%";"48,61%";;;;;;;;;;;;
"01";Ain;"0103";Valserhône;13514;8418;"62,29%";5096;"37,71%";7977;"59,03%";"94,76%";341;"2,52%";"4,05%";100;"0,74%";"1,19%";ENS;4473;"33,10%";"56,07%";RN;3504;"25,93%";"43,93%";;;;;;;;;;;;;;;;
"01";Ain;"0104";Belley;19004;13217;"69,55%";5787;"30,45%";12254;"64,48%";"92,71%";773;"4,07%";"5,85%";190;"1,00%";"1,44%";UG;1168;"6,15%";"9,53%";ENS;4881;"25,68%";"39,83%";RN;4502;"23,69%";"36,74%";UXD;1703;"8,96%";"13,90%";;;;;;;;
"01";Ain;"0105";"Bourg-en-Bresse-1";20397;13593;"66,64%";6804;"33,36%";13103;"64,24%";"96,40%";394;"1,93%";"2,90%";96;"0,47%";"0,71%";ENS;45;"0,22%";"0,34%";LR;8675;"42,53%";"66,21%";RN;4383;"21,49%";"33,45%";;;;;;;;;;;;
"01";Ain;"0106";"Bourg-en-Bresse-2";17871;12124;"67,84%";5747;"32,16%";11547;"64,61%";"95,24%";437;"2,45%";"3,60%";140;"0,78%";"1,15%";ENS;5202;"29,11%";"45,05%";LR;2120;"11,86%";"18,36%";RN;4225;"23,64%";"36,59%";;;;;;;;;;;;
"01";Ain;"0107";Ceyzériat;20237;14989;"74,07%";5248;"25,93%";14316;"70,74%";"95,51%";531;"2,62%";"3,54%";142;"0,70%";"0,95%";ENS;3563;"17,61%";"24,89%";LR;3840;"18,98%";"26,82%";RN;6913;"34,16%";"48,29%";;;;;;;;;;;;
"01";Ain;"0108";"Châtillon-sur-Chalaronne";23163;16229;"70,06%";6934;"29,94%";15549;"67,13%";"95,81%";542;"2,34%";"3,34%";138;"0,60%";"0,85%";ENS;6919;"29,87%";"44,50%";RN;8630;"37,26%";"55,50%";;;;;;;;;;;;;;;;
"01";Ain;"0109";Gex;19237;12277;"63,82%";6960;"36,18%";11849;"61,59%";"96,51%";337;"1,75%";"2,74%";91;"0,47%";"0,74%";ENS;8180;"42,52%";"69,04%";RN;3669;"19,07%";"30,96%";;;;;;;;;;;;;;;;
"01";Ain;"0110";"Plateau d'Hauteville";15821;10859;"68,64%";4962;"31,36%";9672;"61,13%";"89,07%";926;"5,85%";"8,53%";261;"1,65%";"2,40%";UG;2923;"18,48%";"30,22%";ENS;1298;"8,20%";"13,42%";RN;1390;"8,79%";"14,37%";UXD;4061;"25,67%";"41,99%";;;;;;;;
"01";Ain;"0111";Lagnieu;26356;18663;"70,81%";7693;"29,19%";17669;"67,04%";"94,67%";824;"3,13%";"4,42%";170;"0,65%";"0,91%";UG;810;"3,07%";"4,58%";ENS;7255;"27,53%";"41,06%";RN;8144;"30,90%";"46,09%";UXD;1460;"5,54%";"8,26%";;;;;;;;
"01";Ain;"0112";Meximieux;23652;16657;"70,43%";6995;"29,57%";15964;"67,50%";"95,84%";557;"2,35%";"3,34%";136;"0,58%";"0,82%";ENS;8942;"37,81%";"56,01%";RN;7022;"29,69%";"43,99%";;;;;;;;;;;;;;;;
"01";Ain;"0113";Miribel;21614;15464;"71,55%";6150;"28,45%";14925;"69,05%";"96,51%";423;"1,96%";"2,74%";116;"0,54%";"0,75%";ENS;8978;"41,54%";"60,15%";RN;5947;"27,51%";"39,85%";;;;;;;;;;;;;;;;
"01";Ain;"0114";Nantua;13650;9440;"69,16%";4210;"30,84%";8300;"60,81%";"87,92%";927;"6,79%";"9,82%";213;"1,56%";"2,26%";UG;3419;"25,05%";"41,19%";UXD;4881;"35,76%";"58,81%";;;;;;;;;;;;;;;;
"01";Ain;"0115";Oyonnax;14068;8318;"59,13%";5750;"40,87%";7615;"54,13%";"91,55%";586;"4,17%";"7,04%";117;"0,83%";"1,41%";UG;3912;"27,81%";"51,37%";UXD;3703;"26,32%";"48,63%";;;;;;;;;;;;;;;;
