"Code région";"Libellé région";Inscrits;Votants;"% Votants";Abstentions;"% Abstentions";Exprimés;"% Exprimés/inscrits";"% Exprimés/votants";Blancs;"% Blancs/inscrits";"% Blancs/votants";Nuls;"% Nuls/inscrits";"% Nuls/votants";"Nuance candidat 1";"Voix 1";"% Voix/inscrits 1";"% Voix/exprimés 1";"Nuance candidat 2";"Voix 2";"% Voix/inscrits 2";"% Voix/exprimés 2";"Nuance candidat 3";"Voix 3";"% Voix/inscrits 3";"% Voix/exprimés 3";"Nuance candidat 4";"Voix 4";"% Voix/inscrits 4";"% Voix/exprimés 4";"Nuance candidat 5";"Voix 5";"% Voix/inscrits 5";"% Voix/exprimés 5";"Nuance candidat 6";"Voix 6";"% Voix/inscrits 6";"% Voix/exprimés 6";"Nuance candidat 7";"Voix 7";"% Voix/inscrits 7";"% Voix/exprimés 7";"Nuance candidat 8";"Voix 8";"% Voix/inscrits 8";"% Voix/exprimés 8";"Nuance candidat 9";"Voix 9";"% Voix/inscrits 9";"% Voix/exprimés 9";"Nuance candidat 10";"Voix 10";"% Voix/inscrits 10";"% Voix/exprimés 10";"Nuance candidat 11";"Voix 11";"% Voix/inscrits 11";"% Voix/exprimés 11"
"01";Guadeloupe;318948;110579;"34,67%";208369;"65,33%";103209;"32,36%";"93,34%";3337;"1,05%";"3,02%";4033;"1,26%";"3,65%";SOC;15068;"4,72%";"14,60%";DVG;64770;"20,31%";"62,76%";DVC;6127;"1,92%";"5,94%";RN;17244;"5,41%";"16,71%";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"02";Martinique;304690;98836;"32,44%";205854;"67,56%";92620;"30,40%";"93,71%";3641;"1,19%";"3,68%";2575;"0,85%";"2,61%";SOC;10243;"3,36%";"11,06%";DVG;8541;"2,80%";"9,22%";REG;61483;"20,18%";"66,38%";DVD;9003;"2,95%";"9,72%";RN;3350;"1,10%";"3,62%";;;;;;;;;;;;;;;;;;;;;;;;
"03";Guyane;108949;28559;"26,21%";80390;"73,79%";27214;"24,98%";"95,29%";1022;"0,94%";"3,58%";323;"0,30%";"1,13%";REG;22724;"20,86%";"83,50%";DVD;4490;"4,12%";"16,50%";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"04";"La Réunion";697352;335193;"48,07%";362159;"51,93%";308657;"44,26%";"92,08%";14050;"2,01%";"4,19%";12486;"1,79%";"3,73%";DVG;96223;"13,80%";"31,17%";UG;84966;"12,18%";"27,53%";RN;127468;"18,28%";"41,30%";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"06";Mayotte;52473;26069;"49,68%";26404;"50,32%";24127;"45,98%";"92,55%";788;"1,50%";"3,02%";1154;"2,20%";"4,43%";LR;11153;"21,25%";"46,23%";RN;12974;"24,73%";"53,77%";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"11";"Île-de-France";5616581;3713995;"66,13%";1902586;"33,87%";3516338;"62,61%";"94,68%";158158;"2,82%";"4,26%";39499;"0,70%";"1,06%";FI;8361;"0,15%";"0,24%";DVG;53891;"0,96%";"1,53%";UG;1398692;"24,90%";"39,78%";DIV;11256;"0,20%";"0,32%";ENS;994148;"17,70%";"28,27%";UDI;35537;"0,63%";"1,01%";LR;186257;"3,32%";"5,30%";DVD;74101;"1,32%";"2,11%";DSV;18672;"0,33%";"0,53%";RN;598643;"10,66%";"17,02%";UXD;136781;"2,44%";"3,89%"
"24";"Centre-Val de Loire";1842993;1249280;"67,79%";593713;"32,21%";1178921;"63,97%";"94,37%";52235;"2,83%";"4,18%";18124;"0,98%";"1,45%";UG;123580;"6,71%";"10,48%";HOR;27060;"1,47%";"2,30%";ENS;395898;"21,48%";"33,58%";DVC;23815;"1,29%";"2,02%";LR;56845;"3,08%";"4,82%";DVD;48718;"2,64%";"4,13%";RN;429842;"23,32%";"36,46%";UXD;73163;"3,97%";"6,21%";;;;;;;;;;;;
"27";"Bourgogne-Franche-Comté";1812651;1268877;"70,00%";543774;"30,00%";1192155;"65,77%";"93,95%";57048;"3,15%";"4,50%";19674;"1,09%";"1,55%";UG;235210;"12,98%";"19,73%";ENS;243653;"13,44%";"20,44%";LR;158427;"8,74%";"13,29%";DVD;15593;"0,86%";"1,31%";RN;443076;"24,44%";"37,17%";UXD;96196;"5,31%";"8,07%";;;;;;;;;;;;;;;;;;;;
"28";Normandie;2418440;1655214;"68,44%";763226;"31,56%";1564829;"64,70%";"94,54%";70276;"2,91%";"4,25%";20109;"0,83%";"1,21%";UG;324953;"13,44%";"20,77%";HOR;103713;"4,29%";"6,63%";ENS;361417;"14,94%";"23,10%";DVD;118437;"4,90%";"7,57%";RN;603299;"24,95%";"38,55%";UXD;53010;"2,19%";"3,39%";;;;;;;;;;;;;;;;;;;;
"32";"Hauts-de-France";2714168;1771417;"65,27%";942751;"34,73%";1690663;"62,29%";"95,44%";59107;"2,18%";"3,34%";21647;"0,80%";"1,22%";UG;343607;"12,66%";"20,32%";DIV;26769;"0,99%";"1,58%";HOR;18612;"0,69%";"1,10%";ENS;292705;"10,78%";"17,31%";UDI;47210;"1,74%";"2,79%";LR;111297;"4,10%";"6,58%";DVD;101942;"3,76%";"6,03%";RN;690429;"25,44%";"40,84%";UXD;58092;"2,14%";"3,44%";;;;;;;;
"44";"Grand Est";3534281;2353718;"66,60%";1180563;"33,40%";2254816;"63,80%";"95,80%";75550;"2,14%";"3,21%";23352;"0,66%";"0,99%";UG;232984;"6,59%";"10,33%";ENS;661975;"18,73%";"29,36%";DVC;26393;"0,75%";"1,17%";UDI;29657;"0,84%";"1,32%";LR;194424;"5,50%";"8,62%";DVD;121443;"3,44%";"5,39%";RN;921299;"26,07%";"40,86%";UXD;43424;"1,23%";"1,93%";EXD;23217;"0,66%";"1,03%";;;;;;;;
"52";"Pays de la Loire";2780065;1936295;"69,65%";843770;"30,35%";1845623;"66,39%";"95,32%";68673;"2,47%";"3,55%";21999;"0,79%";"1,14%";UG;372287;"13,39%";"20,17%";HOR;31379;"1,13%";"1,70%";ENS;675846;"24,31%";"36,62%";LR;26768;"0,96%";"1,45%";DVD;107505;"3,87%";"5,82%";RN;468185;"16,84%";"25,37%";UXD;163653;"5,89%";"8,87%";;;;;;;;;;;;;;;;
"53";Bretagne;2498524;1822375;"72,94%";676149;"27,06%";1734943;"69,44%";"95,20%";64717;"2,59%";"3,55%";22715;"0,91%";"1,25%";UG;346392;"13,86%";"19,97%";REG;51799;"2,07%";"2,99%";ENS;681975;"27,30%";"39,31%";DVC;19239;"0,77%";"1,11%";LR;41619;"1,67%";"2,40%";DVD;50315;"2,01%";"2,90%";RN;543604;"21,76%";"31,33%";;;;;;;;;;;;;;;;
"75";"Nouvelle-Aquitaine";4407700;3125090;"70,90%";1282610;"29,10%";2945405;"66,82%";"94,25%";127499;"2,89%";"4,08%";52186;"1,18%";"1,67%";DVG;91656;"2,08%";"3,11%";UG;814058;"18,47%";"27,64%";ECO;37808;"0,86%";"1,28%";HOR;77375;"1,76%";"2,63%";ENS;626251;"14,21%";"21,26%";DVC;39228;"0,89%";"1,33%";LR;54175;"1,23%";"1,84%";DVD;62865;"1,43%";"2,13%";RN;1048665;"23,79%";"35,60%";UXD;93324;"2,12%";"3,17%";;;;
"76";Occitanie;3872170;2741324;"70,80%";1130846;"29,20%";2536821;"65,51%";"92,54%";148710;"3,84%";"5,42%";55793;"1,44%";"2,04%";DVG;30912;"0,80%";"1,22%";UG;1005057;"25,96%";"39,62%";ENS;251845;"6,50%";"9,93%";DVC;32529;"0,84%";"1,28%";LR;28049;"0,72%";"1,11%";DVD;25670;"0,66%";"1,01%";RN;955007;"24,66%";"37,65%";UXD;207752;"5,37%";"8,19%";;;;;;;;;;;;
"84";"Auvergne-Rhône-Alpes";5551267;3903569;"70,32%";1647698;"29,68%";3691476;"66,50%";"94,57%";164728;"2,97%";"4,22%";47365;"0,85%";"1,21%";DVG;24783;"0,45%";"0,67%";UG;963233;"17,35%";"26,09%";ENS;657279;"11,84%";"17,81%";UDI;7268;"0,13%";"0,20%";LR;494834;"8,91%";"13,40%";DVD;104067;"1,87%";"2,82%";RN;1124192;"20,25%";"30,45%";UXD;315820;"5,69%";"8,56%";;;;;;;;;;;;
"93";"Provence-Alpes-Côte d'Azur";2591379;1736016;"66,99%";855363;"33,01%";1624456;"62,69%";"93,57%";87094;"3,36%";"5,02%";24466;"0,94%";"1,41%";DVG;30287;"1,17%";"1,86%";UG;481565;"18,58%";"29,64%";ENS;180028;"6,95%";"11,08%";LR;94374;"3,64%";"5,81%";RN;714453;"27,57%";"43,98%";UXD;123749;"4,78%";"7,62%";;;;;;;;;;;;;;;;;;;;
"94";Corse;245025;163889;"66,89%";81136;"33,11%";156774;"63,98%";"95,66%";4586;"1,87%";"2,80%";2529;"1,03%";"1,54%";REG;69073;"28,19%";"44,06%";ENS;20893;"8,53%";"13,33%";DVD;24458;"9,98%";"15,60%";RN;42350;"17,28%";"27,01%";;;;;;;;;;;;;;;;;;;;;;;;;;;;
